"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","GENEVA","061","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","WIREGRASS","60","RUSSELL","113","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","MOHAVE","015","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ARIZONA","04","NORTHERN","10","YAVAPAI","025","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ARIZONA","04","SOUTHERN","80","PINAL","021","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","55.3"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","LAKE","033","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","NAPA","055","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","SAN LUIS OBISPO","079","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","3","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","SAN MATEO","081","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","SANTA CLARA","085","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","SANTA CRUZ","087","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","SONOMA","097","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","2","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","NORTHERN COAST","10","HUMBOLDT","023","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","NORTHERN COAST","10","MENDOCINO","045","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SACRAMENTO","067","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","4","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","YOLO","113","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","YUBA","115","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","38","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","FRESNO","019","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","2,608","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","KERN","029","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","KINGS","031","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MADERA","039","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MERCED","047","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","37","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","SAN JOAQUIN","077","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","27","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","STANISLAUS","099","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","TULARE","107","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","164","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SIERRA MOUNTAINS","60","EL DORADO","017","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","5","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SIERRA MOUNTAINS","60","INYO","027","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SIERRA MOUNTAINS","60","NEVADA","057","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","4","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SIERRA MOUNTAINS","60","PLACER","061","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","3","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SISKIYOU-SHASTA","20","SHASTA","089","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SISKIYOU-SHASTA","20","TRINITY","105","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","LOS ANGELES","037","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","3","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","RIVERSIDE","065","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","SAN BERNARDINO","071","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","SAN DIEGO","073","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","41.6"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","SANTA BARBARA","083","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","VENTURA","111","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","COLORADO","08","SOUTHWEST","70","DELTA","029","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","COLORADO","08","SOUTHWEST","70","MESA","077","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","COLORADO","08","SOUTHWEST","70","MONTEZUMA","083","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","COLORADO","08","SOUTHWEST","70","MONTROSE","085","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","HARTFORD","003","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","FLORIDA","12","NORTHEAST","30","COLUMBIA","023","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","FLORIDA","12","SOUTHERN","80","PALM BEACH","099","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","GEORGIA","13","NORTHWEST","10","FLOYD","115","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","GEORGIA","13","SOUTHWEST","70","MITCHELL","205","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","NORTH","10","BONNER","017","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","NORTH","10","IDAHO","049","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","TWIN FALLS","083","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","CANYON","027","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","GEM","045","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (Z)","3.5"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","PAYETTE","075","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","WASHINGTON","087","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","UNION","181","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","KANSAS","20","EAST CENTRAL","80","MIAMI","121","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","SAINT TAMMANY","103","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","(L)"
"CENSUS","2022","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","WEST CARROLL","123","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (Z)","10.0"
"CENSUS","2022","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","FREDERICK","021","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","MARYLAND","24","NORTH CENTRAL","20","MONTGOMERY","031","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","MARYLAND","24","SOUTHERN","80","ST MARYS","037","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","MICHIGAN","26","SOUTHEAST","90","OAKLAND","125","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (Z)","(L)"
"CENSUS","2022","YEAR","","COUNTY","MICHIGAN","26","SOUTHWEST","70","BERRIEN","021","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","3","32.4"
"CENSUS","2022","YEAR","","COUNTY","NEVADA","32","SOUTH","80","CLARK","003","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEVADA","32","SOUTH","80","NYE","023","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (Z)","0.4"
"CENSUS","2022","YEAR","","COUNTY","NEW HAMPSHIRE","33","ALL COUNTIES","10","MERRIMACK","013","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW JERSEY","34","NORTH","20","MORRIS","027","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHWEST","10","BERNALILLO","001","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHWEST","10","SANDOVAL","043","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","SOUTHEAST","90","DONA ANA","013","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW YORK","36","CENTRAL","50","ONONDAGA","067","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW YORK","36","SOUTHEAST","90","COLUMBIA","021","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW YORK","36","SOUTHEAST","90","DUTCHESS","027","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW YORK","36","SOUTHERN","80","SCHUYLER","097","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (Z)","26.3"
"CENSUS","2022","YEAR","","COUNTY","NEW YORK","36","SOUTHERN","80","TOMPKINS","109","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","OTTAWA","123","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","MEDINA","103","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OKLAHOMA","40","CENTRAL","50","CREEK","037","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OKLAHOMA","40","NORTHEAST","70","CRAIG","035","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OKLAHOMA","40","SOUTH CENTRAL","60","BRYAN","013","","","00000000","","PLUM-APRICOT HYBRIDS","PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","7.4"
